,Anson County,Asheville Regional,Douglas Municipal,Pine Island,Elizabeth,Northeastern Regional,Craven County Regional,Fayetteville Regional/Grannis Field,Simmons AFB,Seymour Johnson AFB,Piedmont Triad International,Mackall AAF,Hickory Regional,Billy Mitchell,Horace Williams,Wilkes County,Wilmington International,Smith Reynolds,Kinston Regional Jetport at Stallings Field,Concord Regional,Lumberton Municipal,Dare County Regional,Beaufort/Morehead,Morganton Lenoir,Laurinburg-Maxton,Gastonia Municipal,Johnston County,Shelby Municipal,Currituck County Regional,Duplin County,Cherry Point MCAS,Albert J Ellis,Warren Field,Pitt Greenville,Pope AFB,Raleigh-Durham International,Lincoln County,Rocky Mount-Wilson Regional,Halifax County,Moore County,Rowan County,Statesville Municipal,Person County,Stanly County,Henderson Oxford,Michael J. Smith Field,Clinton Sampson County,Burlington Alamance Regional,Richmond County,Charlotte Monroe Executive,Macon County,Raleigh Exec Jetport at Sanford Lee County,Columbus County Municipal,Siler City Municipal,Tri County,Cape Fear Regional Jetport Howie Franklin,Asheboro Regional,Hendersonville Airport,Western Carolina Regional
Lumberton Municipal,64.69,205.14,114.4,216.19,198.32,171.07,118.66,28.14,36.65,79.98,113.82,38.55,153.09,199.33,91.47,160.0,69.92,124.17,95.4,107.72,0.0,210.08,136.5,167.3,21.5,125.38,74.51,150.77,211.0,66.7,125.17,83.51,131.35,117.99,38.75,88.72,133.36,108.25,147.33,47.17,109.27,133.47,115.73,83.21,124.55,136.48,46.63,102.07,44.31,93.06,250.7,67.16,30.46,79.62,157.65,73.27,86.21,197.08,275.24
Dare County Regional,254.39,385.58,298.42,23.68,35.55,49.46,95.66,190.34,190.09,133.31,237.68,222.44,319.19,47.7,188.56,302.42,169.15,253.55,115.39,283.88,210.08,0.0,98.27,331.5,221.0,310.49,153.38,334.91,37.68,143.47,96.9,131.56,79.76,96.75,193.61,172.77,308.08,122.95,117.93,212.81,271.06,294.76,185.31,252.46,161.04,98.31,163.82,211.48,239.61,284.09,436.66,192.38,205.1,213.9,86.41,192.37,236.05,380.72,461.67
Beaufort/Morehead,194.93,335.95,244.35,115.85,108.87,89.58,31.92,127.1,131.75,84.6,207.27,162.17,275.79,68.1,158.95,270.02,77.82,222.82,67.85,233.38,136.5,98.27,0.0,289.64,153.63,256.22,112.52,281.92,120.58,77.13,17.1,54.4,61.75,74.4,136.7,143.27,259.57,103.94,131.75,158.32,226.86,252.53,169.0,202.92,153.89,0.04,98.11,182.7,176.15,225.4,384.1,149.83,121.26,173.95,111.77,97.88,193.37,328.99,408.99
Morganton Lenoir,102.95,58.76,57.15,326.84,305.49,282.65,262.72,164.7,158.46,208.26,95.3,131.38,14.23,339.6,142.96,39.53,236.23,80.52,227.47,59.61,167.3,331.5,289.64,0.0,145.87,50.87,182.18,39.93,314.98,212.61,274.41,236.13,256.81,237.71,153.34,158.77,35.2,208.69,222.0,131.85,62.84,37.38,150.31,87.21,176.19,289.64,192.45,120.72,123.22,79.46,109.84,142.17,196.36,118.76,250.35,240.0,97.35,58.52,133.8
Laurinburg-Maxton,43.59,184.86,93.62,225.08,206.19,179.16,133.05,30.8,33.89,88.07,95.52,18.48,131.65,214.06,80.79,138.81,90.78,104.68,105.62,86.33,21.5,221.0,153.63,145.87,0.0,104.87,75.61,130.44,218.51,79.77,141.1,99.56,141.34,126.03,32.89,81.79,112.11,110.95,147.03,30.83,87.9,111.98,105.39,61.91,118.23,153.62,58.11,87.06,23.36,72.85,231.33,56.65,51.56,63.53,161.41,94.73,66.66,177.09,256.04
Gastonia Municipal,61.63,80.07,12.13,309.29,288.48,263.48,232.22,129.12,125.19,180.17,91.47,94.06,39.54,312.03,127.57,70.53,195.3,82.72,199.49,27.83,125.38,310.49,256.22,50.87,104.87,0.0,157.21,25.72,299.27,179.62,242.29,201.84,232.25,214.03,120.58,140.99,19.41,188.7,210.81,99.42,46.83,40.23,142.61,58.23,167.28,256.21,158.19,110.73,81.52,32.46,128.16,118.32,152.44,98.88,235.56,195.84,77.24,72.77,153.19
Johnston County,101.85,233.62,145.11,153.71,133.65,107.46,82.57,46.96,41.72,27.92,94.95,71.53,169.0,157.43,46.66,158.75,92.23,110.7,46.0,130.97,74.51,153.38,112.52,182.18,75.61,157.21,0.0,181.89,145.39,43.91,95.91,65.9,75.32,56.83,43.49,31.89,155.87,35.44,72.83,60.03,119.89,144.82,61.22,99.43,57.24,112.53,39.12,70.19,89.38,130.96,284.16,40.07,89.53,63.57,85.96,112.69,84.88,228.17,309.23
Shelby Municipal,87.33,54.42,37.61,333.05,312.08,287.47,257.76,154.82,150.76,205.38,109.54,119.77,35.55,337.37,149.96,72.53,220.67,98.23,224.73,51.03,150.77,334.91,281.92,39.93,130.44,25.72,181.89,0.0,322.62,205.27,267.94,227.55,257.11,238.7,146.1,164.11,29.37,212.61,232.76,124.82,66.53,50.48,163.02,82.48,188.31,281.91,183.87,131.32,107.11,57.7,102.68,142.53,177.31,121.97,258.52,220.51,99.9,47.08,127.75
Currituck County Regional,247.04,371.06,287.42,16.17,13.02,40.09,108.16,187.84,185.57,131.15,219.82,216.8,303.51,83.66,173.1,283.19,181.71,235.19,116.27,271.86,211.0,37.68,120.58,314.98,218.51,299.27,145.39,322.62,0.0,146.64,114.23,140.63,81.46,93.02,188.26,158.51,294.62,111.16,94.19,205.28,257.0,279.25,165.37,241.11,139.81,120.63,164.5,194.3,234.56,275.43,422.63,181.46,211.45,200.66,64.64,206.34,222.73,367.11,447.41
Duplin County,118.83,259.09,167.65,150.55,133.73,106.56,53.37,50.87,54.68,23.5,133.59,85.83,198.72,134.35,88.86,194.37,50.84,148.51,30.57,156.32,66.7,143.47,77.13,212.61,79.77,179.62,43.91,205.27,146.64,0.0,62.67,24.02,65.58,55.18,59.59,75.41,182.48,59.26,100.62,81.2,149.9,175.6,105.12,125.79,98.97,77.12,21.8,110.91,100.98,149.42,307.72,74.88,65.29,98.63,100.54,74.06,116.93,252.34,332.7
Cherry Point MCAS,181.38,321.73,230.33,111.72,101.84,79.76,14.93,113.37,117.28,68.03,190.8,148.42,260.66,74.78,142.18,253.94,72.88,206.44,50.85,218.84,125.17,96.9,17.1,274.41,141.1,242.29,95.91,267.94,114.23,62.67,0.0,41.7,47.03,57.95,122.1,126.4,244.93,86.94,115.92,143.67,211.57,237.18,151.92,188.06,136.84,17.12,84.21,166.03,163.11,211.95,370.38,133.79,113.01,157.92,97.75,95.51,177.72,315.01,395.35
Albert J Ellis,140.54,281.63,189.98,142.02,127.62,101.47,36.35,72.74,77.76,40.33,157.5,107.78,222.17,115.96,111.96,218.38,42.33,172.49,34.3,179.25,83.51,131.56,54.4,236.13,99.56,201.84,65.9,227.55,140.63,24.02,41.7,0.0,60.06,56.94,82.82,97.79,205.5,72.49,111.32,104.41,173.54,199.25,126.7,149.1,117.7,54.39,43.87,134.49,121.85,171.02,329.7,98.86,73.66,122.65,104.36,67.49,140.85,274.61,354.6
Warren Field,174.99,308.92,220.13,85.0,68.46,41.66,34.22,110.63,110.39,53.56,165.98,142.79,243.88,83.82,115.78,230.99,102.12,182.04,35.98,206.25,131.35,79.76,61.75,256.81,141.34,232.25,75.32,257.11,81.46,65.58,47.03,60.06,0.0,19.31,114.01,99.38,231.17,51.07,70.52,133.65,194.96,219.57,118.94,174.7,99.17,61.78,84.76,139.81,159.88,204.95,359.47,115.24,130.03,138.08,50.79,127.19,159.85,303.48,384.54
Pitt Greenville,157.7,290.18,201.93,99.05,80.42,53.23,43.23,95.25,93.92,38.17,146.67,126.01,224.85,103.12,96.47,211.68,98.87,162.73,24.87,187.75,117.99,96.75,74.4,237.71,126.03,214.03,56.83,238.7,93.02,55.18,57.95,56.94,19.31,0.0,97.17,80.08,212.46,32.19,58.57,116.06,176.03,200.51,100.11,156.23,81.37,74.43,71.58,120.51,143.43,187.34,340.89,96.46,120.44,119.03,47.43,123.94,140.91,284.9,365.95
Pope AFB,61.15,199.67,108.52,195.82,176.25,149.59,111.66,14.54,5.24,60.64,82.26,28.84,139.35,191.62,52.88,137.66,88.77,95.19,79.62,96.75,38.75,193.61,136.7,153.34,32.89,120.58,43.49,146.1,188.26,59.59,122.1,82.82,114.01,97.17,0.0,50.4,122.89,78.92,114.16,21.62,90.91,116.61,77.0,66.28,86.66,136.69,39.12,65.93,46.36,91.48,248.73,28.86,64.34,46.01,129.44,101.04,59.77,193.13,273.77
Raleigh-Durham International,93.86,213.21,129.29,169.21,148.1,124.18,112.46,61.32,52.08,59.17,66.61,70.59,146.43,183.14,16.41,131.61,121.71,82.66,75.65,113.43,88.72,172.77,143.27,158.77,81.79,140.99,31.89,164.11,158.51,75.41,126.4,97.79,99.38,80.08,50.4,0.0,136.22,49.93,71.41,55.73,98.74,122.01,30.48,83.13,36.45,143.28,66.47,40.57,87.49,119.32,264.58,27.02,110.79,42.17,94.57,140.22,64.23,208.84,289.49
Lincoln County,68.69,77.75,22.24,305.42,284.32,260.14,234.0,133.11,127.83,180.51,80.17,98.78,21.93,312.59,121.6,51.19,202.84,69.09,199.88,26.29,133.36,308.08,259.57,35.2,112.11,19.41,155.87,29.37,294.62,182.48,244.93,205.5,231.17,212.46,122.89,136.22,0.0,185.34,203.99,101.28,37.71,22.5,133.84,57.04,159.25,259.57,161.62,102.26,89.07,44.29,128.58,116.0,161.91,94.32,230.29,205.57,72.13,72.68,153.6
